5,4,4,4,4,6,5,4,4,6,5,4,4,4,4,6
1,0,0,8,0,0,0,0,0,0,0,2,5,0,0,10
1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,6
9,0,8,0,2,9,0,0,2,2057,0,0,0,0,0,2
5,0,6,1,0,4,0,0,0,4,0,0,0,0,10,3
1,0,0,0,10,1,0,0,0,0,6,1,0,0,4,2
1,0,0,0,4,0,0,8,8,0,0,0,0,0,0,2
1,0,0,0,0,0,130,5,6,1,0,0,8,0,0,2
1,0,0,8,0,0,2,9,10,1,0,2,5,0,0,2
1,0,0,6,1,0,0,4,4,2,9,0,0,0,0,2
1,0,0,0,0,0,0,0,0,0,68,16,0,0,0,10
3,9,0,0,0,0,0,0,0,10,1,0,0,0,8,6
1,4,0,0,0,0,10,1,0,4,0,0,0,0,6,35
9,0,8,0,0,0,4,0,0,0,0,0,0,8,0,2
5,2,5,0,0,0,0,0,0,0,0,0,2,5,0,2
9,8,8,8,8,10,9,8,8,8,10,9,8,8,8,10
