5,4,4,6,4,4,4,4,6,4,4,4,4,4,4,6
1,0,0,0,0,2,8,0,0,0,0,0,10,0,0,2
1,8,0,0,0,0,0,0,0,2,8,0,0,0,0,2
129,2,0,0,0,8,0,0,0,0,0,0,0,0,0,10
1,0,0,0,2,0,0,0,0,0,0,8,0,0,0,2
1,0,10,0,0,0,0,10,0,0,0,2,0,0,8,2
9,0,0,0,0,0,0,8,8,0,0,0,0,2,0,2
1,0,0,0,0,0,2,0,2,2,8,0,0,0,0,2
1,0,0,8,0,0,2,8,10,0,0,0,0,0,0,2
1,0,0,258,0,0,0,0,0,0,0,0,0,2,8,2
1,0,0,0,0,32,0,0,0,10,0,0,8,0,0,2
3,8,0,0,0,0,0,0,0,0,0,2,0,0,0,10
1,0,0,0,16,0,10,0,8,0,0,0,0,0,64,2
9,0,8,0,0,0,0,2,0,0,8,0,0,0,0,2
1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2
9,8,8,8,8,10,8,8,8,8,8,8,10,8,8,10
