5,4,6,5,4,4,4,4,4,6,5,4,4,4,4,6
1,0,0,0,2,9,0,0,0,8,0,0,0,70,1,2
1,0,0,0,32,4,0,10,3,5,0,0,0,0,0,2
9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2
5,0,0,10,1,0,8,0,0,0,0,0,0,0,0,10
1,8,0,4,0,2,5,0,0,0,0,0,0,0,0,6
1,6,1,0,0,0,0,8,8,0,10,1,0,2,9,2
1,0,0,0,0,0,2,5,6,1,4,0,0,0,132,2
1,0,0,8,0,0,2,9,10,1,0,0,8,0,0,2
1,0,0,6,1,0,0,4,4,0,0,0,262,1,0,10
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
3,9,0,0,0,0,0,0,0,8,0,0,0,0,0,2
1,4,0,0,0,0,10,1,2,5,0,0,0,0,6,2
9,0,8,0,0,0,4,0,0,0,0,0,0,2,9,2
5,2,5,0,0,0,0,0,0,16,0,10,1,0,4,2
9,8,8,8,8,10,9,8,8,8,8,8,8,10,9,10
